,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,525,6105,1025,6.0,8,2,360,329,520,3875,30,6,7.3,181,491,2230,32,4.5,140,112,833,39,173,49.7,4.6,Own 33.4,2:56,6.09,35.4,2.92
Opp. Stats,368,5806,1052,5.5,32,16,356,396,578,3843,28,16,6.2,217,435,1963,13,4.5,109,127,1016,30,171,36.3,17.5,Own 28.7,3:00,6.3,33.6,2.07
Lg Rank Offense,2,10,,,1,1,6,,26,9,7,3,5,,9,9,1,11,,,,,,3,31,1,11,12,8,2
Lg Rank Defense,11,17,,,3,1,29,,23,24,24,5,17,,12,12,10,19,,,,,,22,1,5,25,23,26,18
