,Week,LastYrTotalYdsDif,LastYrTotalPlaysDif,LastYrY/PDif,LastYrTODif,LastYr1stDsDif,LastYrPCmpDif,LastYrPAttDif,LastYrPYDsDif,LastYrPTDDif,LastYrPIntDif,LastYrPNY/ADif,LastYrPFDDif,LastYrRAttDif,LastYrRYDsDif,LastYrRTDsDif,LastYrRY/ADif,LastYrR1stDDif,LastYrPenDif,LastYrSc%Dif,LastYrTO%Dif,LastYrAvgPlyDif,LastYrAvgDrYdsDif,LastYrAvgDrPtsDif,MA3Off1stDDif,MA3OffTotYdsDif,MA3OffPYDSDif,MA3OffRYDSDif,MA3OffTOsDif,MA3Def1stDDif,MA3DefTotYdsDif,MA3DefPYDSDif,MA3DefRYDSDif,MA3DefTOsDif,score_diff
0,7,-368,-94,0.09999999999999964,-3,-1,-2,-26,-248,0,-2,-0.10000000000000053,-13,-54,-120,3,0.20000000000000018,13,0,0.5,0.10000000000000142,0.1999999999999993,1.6000000000000014,0.040000000000000036,9.666666666666666,143.66666666666666,116.99999999999997,26.666666666666664,-1.0000000000000002,3.666666666666668,51.666666666666686,9.666666666666657,41.999999999999986,1.0,-4
0,8,-407,-76,0.0,7,-1,-2,0,-28,0,7,0.0,-5,-71,-379,-2,-0.20000000000000018,0,-8,-2.0,4.100000000000001,0.5,2.400000000000002,-0.15000000000000013,9.999999999999998,147.99999999999997,108.33333333333334,39.666666666666664,1.0,10.333333333333332,124.66666666666669,48.66666666666666,76.00000000000001,0.0,6
0,9,-265,1,-0.3000000000000007,3,18,33,11,-232,0,4,-0.6000000000000005,8,-20,-33,-2,0.09999999999999964,1,-11,-5.399999999999999,1.200000000000001,0.1999999999999993,-0.3000000000000007,-0.10000000000000009,9.000000000000002,149.66666666666666,101.66666666666669,48.0,1.0,3.333333333333332,46.33333333333337,11.0,35.33333333333333,-1.3333333333333335,-6
0,10,-334,-82,0.09999999999999964,4,-11,-30,-35,-141,0,2,0.0,1,-51,-193,-2,0.0,-6,-17,-4.899999999999999,3.700000000000001,0.39999999999999947,2.900000000000002,-0.050000000000000044,10.999999999999998,168.0,179.33333333333331,-11.333333333333329,1.3333333333333335,7.666666666666666,152.66666666666666,142.99999999999997,9.666666666666671,-1.6666666666666667,-2
0,11,-182,-96,0.2999999999999998,11,3,15,14,213,0,5,0.1999999999999993,15,-105,-395,-4,0.09999999999999964,-14,-1,-1.2999999999999972,6.0,0.1999999999999993,3.0,0.09999999999999987,6.999999999999998,75.66666666666669,27.333333333333343,48.33333333333333,0.3333333333333335,6.000000000000002,113.33333333333334,173.66666666666669,-60.33333333333333,-0.3333333333333333,26
0,12,-19,-75,0.2999999999999998,0,-12,12,14,376,0,0,0.6999999999999993,-5,-59,-395,-5,-0.2999999999999998,-12,-6,-1.3999999999999986,-0.7999999999999989,0.0,1.8000000000000007,-0.1100000000000001,8.333333333333332,183.00000000000003,127.33333333333333,55.66666666666667,2.0,2.0,36.66666666666666,37.33333333333334,-0.6666666666666572,0.6666666666666667,-3
0,14,-473,-96,0.0,7,-24,-46,-49,-323,0,6,0.0,-26,-32,-150,0,-0.10000000000000053,1,-9,-4.899999999999999,4.0,0.0,0.10000000000000142,-0.33999999999999986,-6.666666666666668,-45.0,-17.666666666666657,-27.333333333333343,-0.33333333333333337,-6.000000000000002,-148.33333333333334,-109.0,-39.33333333333333,1.6666666666666667,3
0,15,-507,-104,0.0,-6,-14,17,20,18,0,1,-0.10000000000000053,7,-110,-525,1,-0.10000000000000053,-16,-9,-2.5,-1.8999999999999986,0.2999999999999998,1.9000000000000021,0.020000000000000018,-9.333333333333332,-134.66666666666669,-106.99999999999997,-27.66666666666667,0.3333333333333333,-6.666666666666668,-127.33333333333334,-120.99999999999997,-6.333333333333329,-0.3333333333333335,21
0,16,-778,-5,-0.8000000000000007,3,-5,52,65,27,0,3,-0.6000000000000005,6,-70,-805,-7,-1.1000000000000005,-16,9,-6.200000000000003,3.1000000000000014,0.5999999999999996,-1.1999999999999993,-0.33999999999999986,0.33333333333333215,-57.333333333333314,-119.66666666666666,62.33333333333333,-2.0,-5.666666666666666,-138.66666666666666,-69.66666666666667,-69.0,0.33333333333333337,2
0,17,-368,-94,0.09999999999999964,-3,-1,-2,-26,-248,0,-2,-0.10000000000000053,-13,-54,-120,3,0.20000000000000018,13,0,0.5,0.10000000000000142,0.1999999999999993,1.6000000000000014,0.040000000000000036,9.666666666666668,71.66666666666669,-27.333333333333343,99.0,0.33333333333333326,-1.0,-17.33333333333337,-37.666666666666686,20.333333333333343,-0.6666666666666667,6
0,18,-637,-89,-0.20000000000000018,13,-23,-54,-54,-559,0,9,-0.40000000000000036,-19,-35,-78,-5,0.20000000000000018,5,5,-6.5,6.700000000000001,0.0,-0.8000000000000007,-0.3700000000000001,1.6666666666666679,-24.33333333333337,-83.0,58.66666666666667,0.33333333333333326,-2.0,-57.0,-60.333333333333314,3.333333333333343,-0.33333333333333326,7
0,19,-511,-27,-0.40000000000000036,4,-1,30,28,-346,0,-3,-0.9000000000000004,-15,-55,-165,3,0.09999999999999964,8,-7,-6.299999999999997,1.3000000000000007,0.09999999999999964,-1.3000000000000007,-0.26,1.333333333333334,-1.0,33.0,-34.0,0.6666666666666666,0.6666666666666661,-8.0,-13.666666666666671,5.666666666666657,1.0,14
0,20,-473,-96,0.0,7,-24,-46,-49,-323,0,6,0.0,-26,-32,-150,0,-0.10000000000000053,1,-9,-4.899999999999999,4.0,0.0,0.10000000000000142,-0.33999999999999986,4.333333333333334,54.66666666666666,42.33333333333334,12.333333333333329,0.33333333333333337,1.0,-6.0,-12.666666666666657,6.666666666666657,0.6666666666666666,-3
0,1,-507,2,-0.5,7,-23,57,51,10,0,0,-0.5999999999999996,-8,-53,-517,4,-0.8000000000000003,-18,0,-11.599999999999998,2.3000000000000007,-0.2999999999999998,-3.700000000000003,-0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
0,2,-688,-23,-0.5,8,-40,14,37,-53,0,4,-0.5999999999999996,-15,-66,-635,-1,-0.8999999999999999,-29,14,-15.3,3.200000000000001,-0.5999999999999996,-5.600000000000001,-0.5900000000000001,-5.0,-35.0,-131.0,96.0,1.0,2.0,59.0,103.0,-44.0,2.0,7
