week,avg_passing_yards,avg_sacks_suffered,avg_passing_air_yards,avg_passing_epa,avg_passing_cpoe,avg_rushing_yards,avg_rushing_epa,avg_receiving_fumbles,avg_receiving_fumbles_lost,avg_def_tackles_solo,avg_def_tackles_with_assist,avg_def_tackle_assists,avg_def_tackles_for_loss,avg_def_fumbles_forced,avg_def_qb_hits,avg_def_interceptions,avg_def_interception_yards,avg_misc_yards,avg_fumble_recovery_opp,avg_penalties,avg_punt_returns,avg_punt_return_yards,avg_kickoff_returns,avg_fg_made,avg_fg_blocked,pst_passing_yards,pst_passing_tds,pst_passing_interceptions,pst_sacks_suffered,pst_sack_fumbles,pst_passing_air_yards,pst_passing_epa,pst_passing_cpoe,pst_passing_2pt_conversions,pst_rushing_yards,pst_rushing_tds,pst_rushing_fumbles,pst_rushing_fumbles_lost,pst_rushing_epa,pst_rushing_2pt_conversions,pst_receiving_fumbles,pst_special_teams_tds,pst_def_tackles_solo,pst_def_tackles_with_assist,pst_def_tackle_assists,pst_def_tackles_for_loss,pst_def_fumbles_forced,pst_def_sacks,pst_def_qb_hits,pst_def_interceptions,pst_def_interception_yards,pst_def_pass_defended,pst_def_tds,pst_def_safeties,pst_misc_yards,pst_fumble_recovery_own,pst_fumble_recovery_opp,pst_fumble_recovery_tds,pst_penalties,pst_timeouts,pst_punt_returns,pst_punt_return_yards,pst_kickoff_returns,pst_fg_made,pst_fg_missed,pst_fg_blocked,pst_fg_long,pst_fg_made_0_19,pst_fg_made_20_29,pst_fg_made_30_39,pst_fg_made_40_49,pst_fg_missed_30_39,pst_pat_made,pst_pat_missed,pst_pat_blocked,pst_gwfg_made,score_diff
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,969.0,10.0,-1.0,0.0,2.0,620.0,51.8338097840823,-0.6679739933881531,2.0,-481.0,-3.0,0.0,0.0,-37.07342076439219,-1.0,-1.0,2.0,27.0,10.0,-40.0,7.0,7.0,7.0,0.0,8.0,102.0,17.0,3.0,0.0,0.0,-3.0,4.0,2.0,-15.0,-13.0,-1.0,346.0,-2.0,5.0,1.0,-1.0,1.0,1.0,-2.0,6.0,-5.0,0.0,11.0,1.0,0.0,0.0,-31
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3979.0,37.0,24.0,63.0,0.0,4675.0,-51.527898350629606,0.5240529802286802,2.0,1660.0,13.0,-4.0,0.0,65.672770235955,-1.0,3.0,-2.0,612.0,142.0,370.0,84.0,6.0,32.0,69.0,14.0,-145.0,59.0,0.0,-1.0,-73.0,-3.0,6.0,1.0,77.0,81.0,22.0,241.0,24.0,14.0,1.0,1.0,45.0,-1.0,11.0,2.0,2.0,2.0,40.0,3.0,-1.0,1.0,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-975.0,-4.0,9.0,19.0,8.0,-152.0,-192.4888821678825,-6.37581367931765,-1.0,-47.0,-8.0,0.0,-1.0,-9.9031377470983,1.0,0.0,-1.0,-42.0,-37.0,83.0,17.0,4.0,-9.0,-22.0,-1.0,30.0,-9.0,2.0,-1.0,0.0,6.0,0.0,2.0,29.0,5.0,3.0,33.0,-1.0,-17.0,2.0,0.0,-7.0,0.0,-13.0,-1.0,-2.0,2.0,-13.0,1.0,0.0,0.0,-7
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3066.0,1.0,6.0,72.0,9.0,3187.0,-101.587837194092,-7.31993734931806,0.0,1956.0,16.0,10.0,-1.0,-20.7727479766572,0.0,2.0,0.0,562.0,20.0,324.0,50.0,18.0,9.0,46.0,15.0,91.0,65.0,-1.0,4.0,0.0,15.0,12.0,0.0,74.0,71.0,7.0,-85.0,22.0,40.0,7.0,1.0,57.0,0.0,16.0,7.0,8.0,4.0,12.0,2.0,0.0,2.0,-11
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,-1.0,-11.0,-7.0,-292.0,109.4011592542232,0.7838882936197602,3.0,713.0,12.0,4.0,2.0,28.964388812839797,-1.0,3.0,1.0,95.0,-190.0,-118.0,26.0,5.0,28.0,41.0,8.0,133.0,8.0,0.0,-1.0,0.0,-3.0,6.0,5.0,21.0,-7.0,7.0,177.0,-6.0,12.0,0.0,-2.0,4.0,0.0,-2.0,10.0,5.0,-1.0,17.0,2.0,-1.0,0.0,5
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-225.0,-2.0,-3.0,19.0,-4.0,-582.0,-17.169712361838492,3.43740703081486,0.0,308.0,2.0,-2.0,1.0,29.12064651391946,0.0,-1.0,0.0,34.0,-125.0,-71.0,-3.0,-1.0,-12.0,-16.0,-2.0,-101.0,7.0,-2.0,0.0,0.0,-1.0,1.0,1.0,10.0,5.0,7.0,-39.0,22.0,21.0,-3.0,-3.0,3.0,0.0,-3.0,13.0,8.0,-1.0,3.0,-4.0,-1.0,0.0,10
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,5.0,-7.0,4.0,4.0,-601.0,55.018210534026394,-0.8352792833098899,-2.0,399.0,4.0,0.0,-1.0,17.463339634220798,0.0,-4.0,3.0,18.0,-41.0,-51.0,8.0,5.0,17.0,26.0,13.0,391.0,40.0,3.0,2.0,43.0,-1.0,1.0,0.0,-7.0,-7.0,18.0,303.0,6.0,24.0,-1.0,-1.0,3.0,1.0,5.0,6.0,9.0,0.0,15.0,2.0,0.0,0.0,20
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4776.0,30.0,14.0,-1.0,9.0,5362.0,124.03039949992149,-2.28534188675948,0.0,1287.0,8.0,7.0,0.0,-67.50626983960757,0.0,4.0,1.0,582.0,304.0,360.0,77.0,14.0,55.0,102.0,20.0,403.0,72.0,4.0,0.0,0.0,12.0,8.0,1.0,98.0,54.0,21.0,298.0,3.0,-1.0,10.0,6.0,47.0,0.0,14.0,-7.0,-6.0,3.0,34.0,8.0,2.0,1.0,-10
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3499.0,18.0,21.0,20.0,0.0,5256.0,-31.986815260155396,0.3333308475325498,4.0,1155.0,9.0,8.0,5.0,-56.710072931057894,0.0,12.0,-3.0,615.0,144.0,336.0,56.0,7.0,14.0,47.0,-8.0,-381.0,16.0,-3.0,-2.0,-43.0,14.0,8.0,0.0,121.0,71.0,9.0,-148.0,28.0,-8.0,5.0,2.0,50.0,-1.0,0.0,-1.0,-6.0,2.0,18.0,-1.0,0.0,0.0,-20
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.0,10.0,4.0,-2.0,1.0,509.0,-3.2069200753826053,-0.860273336436968,0.0,-445.0,-14.0,1.0,1.0,-20.09321527396,1.0,7.0,0.0,-27.0,30.0,-30.0,4.0,-2.0,-12.0,-2.0,-3.0,-55.0,-17.0,1.0,2.0,40.0,12.0,-3.0,1.0,52.0,-8.0,1.0,-34.0,12.0,-14.0,-4.0,-1.0,2.0,0.0,-4.0,1.0,-10.0,0.0,-5.0,2.0,-1.0,-1.0,7
