,Week,LastYrTotalYdsDif,LastYrTotalPlaysDif,LastYrY/PDif,LastYrTODif,LastYr1stDsDif,LastYrPCmpDif,LastYrPAttDif,LastYrPYDsDif,LastYrPTDDif,LastYrPIntDif,LastYrPNY/ADif,LastYrPFDDif,LastYrRAttDif,LastYrRYDsDif,LastYrRTDsDif,LastYrRY/ADif,LastYrR1stDDif,LastYrPenDif,LastYrSc%Dif,LastYrTO%Dif,LastYrAvgPlyDif,LastYrAvgDrYdsDif,LastYrAvgDrPtsDif,MA3Off1stDDif,MA3OffTotYdsDif,MA3OffPYDSDif,MA3OffRYDSDif,MA3OffTOsDif,MA3Def1stDDif,MA3DefTotYdsDif,MA3DefPYDSDif,MA3DefRYDSDif,MA3DefTOsDif,score_diff
0,1,-825,-45,-0.6000000000000005,13,-56,16,46,-271,0,7,-1.2000000000000002,-15,-112,-554,-5,-0.10000000000000053,-45,7,-12.0,7.4,-0.40000000000000036,-5.699999999999999,-0.8200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
0,2,-189,-42,0.0,3,-8,-17,-16,-419,0,3,-0.5,-3,-24,230,-1,0.7999999999999998,-13,3,-0.10000000000000142,2.0999999999999996,0.0,-0.09999999999999787,-0.19000000000000017,5.0,-48.0,-97.0,49.0,1.0,1.0,3.0,7.0,-4.0,0.0,21
0,3,-606,-63,-0.3000000000000007,3,-1,-41,-65,-734,0,2,-0.7000000000000002,-15,-12,128,-1,0.39999999999999947,-3,-9,-0.29999999999999716,3.1999999999999993,0.09999999999999964,-1.0,-0.16000000000000014,0.5,4.5,13.0,-8.5,0.0,1.5,-38.0,-66.5,28.5,2.0,37
0,4,99,-94,0.5,-1,7,-21,-82,79,0,0,0.7999999999999998,8,-6,20,8,0.09999999999999964,0,-7,3.3000000000000007,1.5999999999999996,-0.10000000000000053,2.6000000000000014,0.31999999999999984,-3.0,-101.33333333333331,-18.0,-83.33333333333334,-0.3333333333333333,-2.666666666666668,-55.0,-123.33333333333334,68.33333333333333,1.0,-25
0,5,-400,-64,-0.10000000000000053,6,-19,-19,-13,-637,0,4,-1.0,-2,-59,237,-5,1.0999999999999996,-14,-1,-2.700000000000003,4.9,-0.10000000000000053,-0.8000000000000007,-0.13000000000000012,-2.6666666666666643,-56.666666666666686,-89.00000000000003,32.33333333333334,-1.0,3.333333333333332,75.0,23.333333333333314,51.66666666666667,1.3333333333333335,-3
0,6,253,-72,0.5,3,15,50,30,481,0,1,0.5,33,-108,-228,0,0.5,-15,6,0.1999999999999993,4.199999999999999,0.5,5.400000000000002,0.08999999999999986,-2.333333333333332,-0.6666666666666856,-40.66666666666666,40.0,-1.0,6.333333333333334,171.00000000000003,114.00000000000001,57.000000000000014,0.3333333333333335,3
0,7,-475,-81,-0.10000000000000053,16,-21,-24,-19,-524,0,12,-0.7999999999999998,-6,-71,49,4,0.7999999999999998,-7,1,-11.200000000000003,9.2,-0.7000000000000002,-3.4999999999999964,-0.31000000000000005,6.666666666666666,128.66666666666666,97.99999999999999,30.66666666666667,-0.3333333333333333,9.0,264.0,164.0,100.0,0.6666666666666666,24
0,8,-1091,-132,-0.40000000000000036,11,-67,-27,-33,-619,0,7,-0.7999999999999998,-19,-106,-472,-10,0.0,-47,-4,-8.399999999999999,5.6,-0.7000000000000002,-5.599999999999998,-0.5300000000000002,-0.3333333333333357,-2.0,-40.666666666666686,38.66666666666666,-1.3333333333333333,-3.6666666666666643,-55.0,29.666666666666686,-84.66666666666667,0.3333333333333335,21
0,9,-189,-42,0.0,3,-8,-17,-16,-419,0,3,-0.5,-3,-24,230,-1,0.7999999999999998,-13,3,-0.10000000000000142,2.0999999999999996,0.0,-0.09999999999999787,-0.19000000000000017,10.333333333333334,159.66666666666669,143.33333333333337,16.33333333333333,-0.3333333333333333,5.666666666666666,80.66666666666666,79.0,1.6666666666666714,1.3333333333333335,3
0,10,-725,-122,-0.10000000000000053,6,-33,-7,-16,-500,0,3,-0.7000000000000002,-9,-109,-225,-8,0.5,-27,-1,-6.899999999999999,4.199999999999999,0.0,-0.3000000000000007,-0.33999999999999986,8.333333333333334,115.0,133.00000000000003,-17.999999999999986,-1.0,-2.3333333333333357,-73.33333333333337,-24.333333333333314,-49.0,-0.33333333333333326,10
0,11,296,-30,0.39999999999999947,13,13,23,-4,341,0,10,0.5999999999999996,14,-23,-45,4,0.09999999999999964,-11,26,3.5,6.5,-0.20000000000000018,1.4000000000000021,0.16999999999999993,1.3333333333333357,55.666666666666686,12.333333333333343,43.33333333333333,0.6666666666666666,4.666666666666668,65.0,33.0,32.0,2.0,9
