week,team,opponent_team,avg_completions,avg_attempts,avg_passing_yards,avg_passing_tds,avg_passing_interceptions,avg_sacks_suffered,avg_sack_yards_lost,avg_sack_fumbles,avg_sack_fumbles_lost,avg_passing_air_yards,avg_passing_yards_after_catch,avg_passing_first_downs,avg_passing_epa,avg_passing_cpoe,avg_passing_2pt_conversions,avg_carries,avg_rushing_yards,avg_rushing_tds,avg_rushing_fumbles,avg_rushing_fumbles_lost,avg_rushing_first_downs,avg_rushing_epa,avg_rushing_2pt_conversions,avg_receptions,avg_targets,avg_receiving_yards,avg_receiving_tds,avg_receiving_fumbles,avg_receiving_fumbles_lost,avg_receiving_air_yards,avg_receiving_yards_after_catch,avg_receiving_first_downs,avg_receiving_epa,avg_receiving_2pt_conversions,avg_special_teams_tds,avg_def_tackles_solo,avg_def_tackles_with_assist,avg_def_tackle_assists,avg_def_tackles_for_loss,avg_def_tackles_for_loss_yards,avg_def_fumbles_forced,avg_def_sacks,avg_def_sack_yards,avg_def_qb_hits,avg_def_interceptions,avg_def_interception_yards,avg_def_pass_defended,avg_def_tds,avg_def_fumbles,avg_def_safeties,avg_misc_yards,avg_fumble_recovery_own,avg_fumble_recovery_yards_own,avg_fumble_recovery_opp,avg_fumble_recovery_yards_opp,avg_fumble_recovery_tds,avg_penalties,avg_penalty_yards,avg_timeouts,avg_punt_returns,avg_punt_return_yards,avg_kickoff_returns,avg_kickoff_return_yards,avg_fg_made,avg_fg_att,avg_fg_missed,avg_fg_blocked,avg_fg_long,avg_fg_pct,avg_fg_made_distance,avg_fg_missed_distance,avg_fg_blocked_distance,avg_pat_made,avg_pat_att,avg_pat_missed,avg_pat_blocked,avg_pat_pct,pst_completions,pst_attempts,pst_passing_yards,pst_passing_tds,pst_passing_interceptions,pst_sacks_suffered,pst_sack_yards_lost,pst_sack_fumbles,pst_sack_fumbles_lost,pst_passing_air_yards,pst_passing_yards_after_catch,pst_passing_first_downs,pst_passing_epa,pst_passing_cpoe,pst_passing_2pt_conversions,pst_carries,pst_rushing_yards,pst_rushing_tds,pst_rushing_fumbles,pst_rushing_fumbles_lost,pst_rushing_first_downs,pst_rushing_epa,pst_rushing_2pt_conversions,pst_receptions,pst_targets,pst_receiving_yards,pst_receiving_tds,pst_receiving_fumbles,pst_receiving_fumbles_lost,pst_receiving_air_yards,pst_receiving_yards_after_catch,pst_receiving_first_downs,pst_receiving_epa,pst_receiving_2pt_conversions,pst_special_teams_tds,pst_def_tackles_solo,pst_def_tackles_with_assist,pst_def_tackle_assists,pst_def_tackles_for_loss,pst_def_tackles_for_loss_yards,pst_def_fumbles_forced,pst_def_sacks,pst_def_sack_yards,pst_def_qb_hits,pst_def_interceptions,pst_def_interception_yards,pst_def_pass_defended,pst_def_tds,pst_def_fumbles,pst_def_safeties,pst_misc_yards,pst_fumble_recovery_own,pst_fumble_recovery_yards_own,pst_fumble_recovery_opp,pst_fumble_recovery_yards_opp,pst_fumble_recovery_tds,pst_penalties,pst_penalty_yards,pst_timeouts,pst_punt_returns,pst_punt_return_yards,pst_kickoff_returns,pst_kickoff_return_yards,pst_fg_made,pst_fg_att,pst_fg_missed,pst_fg_blocked,pst_fg_long,pst_fg_pct,pst_fg_made_0_19,pst_fg_made_20_29,pst_fg_made_30_39,pst_fg_made_40_49,pst_fg_made_50_59,pst_fg_missed_0_19,pst_fg_missed_20_29,pst_fg_missed_30_39,pst_fg_missed_40_49,pst_fg_missed_50_59,pst_fg_made_distance,pst_fg_missed_distance,pst_fg_blocked_distance,pst_pat_made,pst_pat_att,pst_pat_missed,pst_pat_blocked,pst_pat_pct,pst_gwfg_made,pst_gwfg_att,score_diff
1.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,58.0,-114.0,-6.0,5.0,11.0,3.0,1.0,-2.0,1654.0,-683.0,10.0,-95.5309495411986,-5.084909649349194,1.0,8.0,-62.0,-4.0,-1.0,0.0,1.0,-21.293726041951004,0.0,-8.0,58.0,-114.0,-6.0,-1.0,0.0,1654.0,-683.0,10.0,-88.82331534508936,1.0,0.0,103.0,-62.0,-136.0,23.0,101.0,5.0,-4.0,1.0,-12.0,-1.0,64.0,-16.0,-1.0,-7.0,0.0,0.0,0.0,-6.0,-1.0,-1.0,1.0,18.0,148.0,4.0,12.0,110.0,-5.0,-81.0,8.0,12.0,3.0,1.0,2.0,-0.05714285714285694,0.0,-5.0,5.0,5.0,3.0,0.0,0.0,4.0,1.0,-2.0,410.0,70.0,60.0,-13.0,-13.0,-2.0,2.0,-0.03846153846153799,1.0,1.0,-18
1.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-34.0,179.0,-17.0,3.0,-12.0,74.0,-6.0,-1.0,-509.0,310.0,7.0,4.834366396562601,2.768312568055993,-4.0,-43.0,-268.0,3.0,-2.0,-1.0,-5.0,-12.337201556320498,-2.0,2.0,-39.0,179.0,-17.0,0.0,-1.0,-509.0,310.0,7.0,-16.550100627373013,-4.0,0.0,20.0,-12.0,78.0,-7.0,42.0,-2.0,1.0,50.0,-32.0,-11.0,-170.0,-27.0,-1.0,-2.0,0.0,-8.0,-3.0,-5.0,-3.0,-4.0,-2.0,-14.0,-44.0,7.0,-2.0,-58.0,21.0,517.0,5.0,5.0,-2.0,2.0,-4.0,0.018853695324284048,1.0,1.0,5.0,-4.0,3.0,0.0,0.0,-2.0,0.0,0.0,184.0,-54.0,70.0,-5.0,-9.0,-4.0,0.0,0.09090909090909105,-1.0,-1.0,-6
1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,91.0,149.0,4.0,3.0,-20.0,56.0,0.0,-2.0,-306.0,203.0,20.0,-15.452282390359699,-0.83769355955966,1.0,-27.0,-161.0,2.0,-3.0,1.0,3.0,2.6328341169943954,0.0,74.0,92.0,149.0,4.0,1.0,-1.0,-306.0,203.0,20.0,-38.20763836494139,1.0,2.0,72.0,-98.0,-130.0,20.0,135.0,0.0,15.0,133.0,29.0,4.0,110.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,5.0,5.0,1.0,-7.0,-123.0,5.0,8.0,109.0,2.0,296.0,5.0,4.0,-2.0,1.0,1.0,0.04013104013103996,0.0,1.0,2.0,4.0,-2.0,0.0,0.0,0.0,-2.0,-1.0,162.0,-69.0,46.0,10.0,10.0,0.0,0.0,0.0,-1.0,-1.0,44
1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,385.0,2937.0,12.0,7.0,67.0,-317.0,3.0,4.0,4454.0,1100.0,129.0,-12.8208788971153,0.47139485485703997,-1.0,514.0,2178.0,10.0,11.0,1.0,111.0,-37.57967741615099,0.0,215.0,377.0,2937.0,12.0,2.0,3.0,4454.0,1100.0,129.0,77.1605372007746,-1.0,-2.0,582.0,213.0,475.0,50.0,119.0,16.0,11.0,14.0,42.0,14.0,165.0,81.0,-1.0,2.0,0.0,0.0,7.0,11.0,2.0,2.0,1.0,105.0,995.0,58.0,16.0,104.0,30.0,344.0,24.0,29.0,6.0,-1.0,55.0,0.838656838656839,0.0,5.0,7.0,3.0,9.0,0.0,0.0,0.0,4.0,3.0,993.0,258.0,-46.0,19.0,19.0,0.0,0.0,1.0,2.0,2.0,-44
1.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,8.0,-7.0,0.0,3.0,3.0,-57.0,-1.0,-3.0,305.0,259.0,5.0,25.2270494363975,-2.487379661008365,0.0,10.0,-68.0,-3.0,9.0,4.0,0.0,-71.1034795298405,1.0,-16.0,7.0,-7.0,0.0,0.0,-1.0,305.0,259.0,5.0,29.117559647021498,0.0,1.0,-59.0,-33.0,41.0,-20.0,-107.0,-5.0,12.0,-17.0,8.0,0.0,-20.0,-8.0,-1.0,2.0,0.0,-86.0,11.0,16.0,1.0,1.0,1.0,-14.0,-257.0,8.0,9.0,43.0,9.0,140.0,7.0,1.0,-6.0,0.0,-8.0,0.20804597701149496,-1.0,3.0,5.0,3.0,-3.0,0.0,-1.0,-2.0,-2.0,-1.0,170.0,-240.0,0.0,-2.0,-2.0,-1.0,1.0,-0.004158004158004047,1.0,1.0,8
1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.0,-89.0,-447.0,-12.0,-6.0,-12.0,91.0,3.0,2.0,-594.0,-559.0,-31.0,-5.039547956618996,-1.8011244329720002,-1.0,36.0,64.0,0.0,7.0,2.0,3.0,-50.6382368151501,1.0,-61.0,-86.0,-447.0,-12.0,-1.0,0.0,-594.0,-559.0,-31.0,-26.825864831579196,-1.0,2.0,57.0,-61.0,-71.0,-6.0,2.0,4.0,5.0,25.0,16.0,-3.0,199.0,5.0,1.0,-3.0,1.0,73.0,8.0,11.0,4.0,4.0,0.0,19.0,154.0,-16.0,5.0,48.0,11.0,208.0,1.0,3.0,2.0,0.0,5.0,-0.062200956937799035,1.0,-3.0,0.0,2.0,1.0,0.0,0.0,-1.0,4.0,-1.0,94.0,91.0,14.0,-7.0,-7.0,-1.0,1.0,-0.014285714285713902,0.0,0.0,-1
1.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,23.0,160.0,12.0,3.0,-16.0,70.0,-3.0,1.0,491.0,115.0,18.0,34.0000317160905,2.63891252263382,0.0,-74.0,-295.0,-5.0,-3.0,2.0,-22.0,-17.8094784410197,0.0,19.0,16.0,160.0,12.0,2.0,0.0,491.0,115.0,18.0,24.4532836985648,0.0,0.0,83.0,-1.0,11.0,16.0,103.0,-7.0,16.0,101.0,27.0,-2.0,124.0,4.0,2.0,7.0,-2.0,0.0,-3.0,-4.0,-5.0,-5.0,0.0,18.0,248.0,-5.0,20.0,247.0,6.0,80.0,-11.0,-14.0,-3.0,0.0,-3.0,0.04705882352941204,0.0,-5.0,0.0,-2.0,-4.0,0.0,0.0,-2.0,0.0,0.0,-434.0,-126.0,-4.0,10.0,10.0,0.0,0.0,0.024509803921567985,-1.0,-1.0,11
1.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.0,-17.0,-1005.0,-14.0,13.0,26.0,-155.0,5.0,3.0,-55.0,-453.0,-62.0,-230.71852820276712,-9.105553430294151,-2.0,-53.0,47.0,-1.0,1.0,0.0,4.0,33.62306517812914,1.0,-73.0,-19.0,-1005.0,-14.0,0.0,4.0,-55.0,-453.0,-62.0,-199.0833947063108,-2.0,-2.0,89.0,-36.0,102.0,2.0,-127.0,2.0,-22.0,-196.0,-26.0,-9.0,-87.0,-7.0,1.0,8.0,-1.0,-24.0,3.0,3.0,0.0,0.0,0.0,9.0,28.0,15.0,8.0,14.0,2.0,160.0,-20.0,-18.0,3.0,-1.0,1.0,-0.171052631578947,0.0,-5.0,-8.0,-5.0,-2.0,0.0,0.0,1.0,1.0,1.0,-723.0,136.0,-35.0,-12.0,-13.0,0.0,-1.0,0.012820512820511998,-4.0,-4.0,0
1.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,485.0,3333.0,22.0,10.0,29.0,-128.0,5.0,6.0,3638.0,1105.0,157.0,-61.6751223256624,2.0054020415471903,0.0,470.0,2238.0,21.0,-8.0,-3.0,129.0,104.3415723413408,-1.0,325.0,478.0,3333.0,22.0,1.0,2.0,3638.0,1105.0,157.0,-8.215449000832997,0.0,0.0,709.0,88.0,240.0,109.0,533.0,25.0,26.0,338.0,89.0,10.0,118.0,72.0,2.0,0.0,0.0,172.0,-9.0,-14.0,9.0,9.0,-1.0,111.0,1196.0,48.0,22.0,232.0,16.0,480.0,15.0,28.0,13.0,0.0,64.0,0.5505747126436771,2.0,2.0,1.0,4.0,6.0,0.0,2.0,4.0,4.0,3.0,664.0,535.0,0.0,38.0,41.0,4.0,-1.0,0.9272349272349271,-1.0,-1.0,-8
1.0,9.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,11.0,-311.0,-15.0,10.0,9.0,-13.0,1.0,1.0,-690.0,28.0,-3.0,-112.5714598115906,-7.05917976313283,0.0,48.0,223.0,4.0,-2.0,2.0,4.0,6.9476022527314,0.0,-8.0,25.0,-311.0,-15.0,2.0,2.0,-690.0,28.0,-3.0,-123.771065636536,0.0,-1.0,-58.0,8.0,-86.0,-1.0,-45.0,-5.0,-6.0,-94.0,-35.0,-4.0,25.0,-16.0,-1.0,8.0,-2.0,0.0,0.0,-3.0,-2.0,-2.0,1.0,-35.0,-457.0,12.0,5.0,114.0,-9.0,-236.0,3.0,3.0,-2.0,2.0,4.0,0.025862068965517016,0.0,0.0,4.0,-4.0,3.0,0.0,2.0,-2.0,-2.0,0.0,114.0,-123.0,114.0,-10.0,-11.0,-1.0,0.0,0.02631578947368396,0.0,-1.0,3
