,Week,LastYrTotalYdsDif,LastYrTotalPlaysDif,LastYrY/PDif,LastYrTODif,LastYr1stDsDif,LastYrPCmpDif,LastYrPAttDif,LastYrPYDsDif,LastYrPTDDif,LastYrPIntDif,LastYrPNY/ADif,LastYrPFDDif,LastYrRAttDif,LastYrRYDsDif,LastYrRTDsDif,LastYrRY/ADif,LastYrR1stDDif,LastYrPenDif,LastYrSc%Dif,LastYrTO%Dif,LastYrAvgPlyDif,LastYrAvgDrYdsDif,LastYrAvgDrPtsDif,MA3Off1stDDif,MA3OffTotYdsDif,MA3OffPYDSDif,MA3OffRYDSDif,MA3OffTOsDif,MA3Def1stDDif,MA3DefTotYdsDif,MA3DefPYDSDif,MA3DefRYDSDif,MA3DefTOsDif
count,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0,854.0
mean,9.951990632318502,-85.83372365339578,-5.813817330210773,-0.05327868852459022,0.9215456674473068,-3.9578454332552693,0.01522248243559719,0.5421545667447307,-40.032786885245905,0.0,0.8571428571428571,-0.09051522248243558,-2.159250585480094,-7.254098360655738,-45.80093676814988,-0.03864168618266979,-0.04297423887587825,-2.2868852459016393,0.5480093676814989,-0.48196721311475393,0.4344262295081968,-0.04156908665105394,-0.52096018735363,-0.022950819672131157,-0.04937548790007802,-0.39734582357533194,-2.547228727556596,2.149882903981265,0.09074941451990633,-0.47521467603434814,-7.2603434816549575,-3.4164715066354403,-3.8438719750195163,0.09894613583138173
std,5.608048940079949,649.8276662057586,56.95984267496072,0.4821136295360717,7.585985687488757,36.81487037141068,48.58078202650543,59.102172569089184,588.3814258825014,0.0,6.061096847309369,0.7566610597371307,27.685775397195087,59.838370229855244,417.50298615193196,6.806634652479023,0.5329174336886118,22.606442584459145,14.434861231615514,6.334871788789486,3.9177546786372583,0.4433358273713645,4.154461268585409,0.36851332122249847,5.441627335949285,93.96836975410646,78.5152323009099,50.16755023816819,0.9618184523920185,5.3950793678507605,95.26895697673693,76.53170144031418,49.6394118189116,0.9719929439787555
min,1.0,-2123.0,-173.0,-1.4000000000000004,-20.0,-116.0,-124.0,-152.0,-1971.0,0.0,-18.0,-2.4000000000000004,-96.0,-183.0,-1587.0,-18.0,-2.0000000000000004,-58.0,-39.0,-21.999999999999996,-10.8,-1.5,-14.3,-1.16,-15.0,-283.0,-259.3333333333333,-165.0,-3.0,-16.0,-269.0,-237.66666666666669,-186.0,-5.0
25%,5.0,-520.25,-44.0,-0.3999999999999994,-4.0,-29.0,-34.0,-42.75,-413.75,0.0,-3.0,-0.5999999999999996,-19.0,-48.75,-309.25,-5.0,-0.4000000000000003,-18.75,-9.0,-4.700000000000001,-2.1999999999999993,-0.2999999999999998,-3.200000000000003,-0.28,-3.3333333333333353,-58.41666666666667,-52.83333333333333,-26.875,-0.3333333333333335,-4.0,-71.91666666666667,-54.16666666666666,-37.25,-0.3333333333333335
50%,10.0,-139.5,-6.0,-0.0999999999999996,1.0,-5.0,1.0,-0.5,-79.5,0.0,1.0,-0.1000000000000005,-2.0,-8.5,-42.5,0.0,0.0,-2.0,0.0,-0.3000000000000042,0.5999999999999996,0.0,-0.5,-0.0350000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-0.8333333333333428,0.0,0.0,0.0
75%,15.0,313.75,34.0,0.2749999999999999,6.0,21.0,36.0,41.0,347.75,0.0,5.0,0.3000000000000007,16.0,37.0,260.75,4.0,0.2999999999999998,13.0,10.0,3.5999999999999996,3.1999999999999993,0.2000000000000001,2.299999999999997,0.2199999999999997,3.333333333333332,56.333333333333336,44.33333333333334,30.583333333333336,0.6666666666666667,3.0,52.916666666666664,45.50000000000002,27.666666666666657,0.6666666666666667
max,22.0,1615.0,173.0,1.4000000000000004,25.0,110.0,129.0,171.0,1541.0,0.0,19.0,2.3999999999999995,86.0,167.0,1328.0,21.0,1.5000000000000004,63.0,45.0,19.5,11.900000000000002,1.9000000000000004,13.900000000000002,1.1799999999999995,20.0,281.3333333333333,230.0,184.0,4.0,18.666666666666664,327.66666666666663,248.0,153.66666666666666,3.3333333333333335
