,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,350,5760,1052,5.5,21,8,337,300,488,3040,19,13,5.8,149,526,2720,14,5.2,167,82,678,21,180,38.9,11.7,Own 29.6,2:57,6.08,32.0,1.90
Opp. Stats,315,5513,1047,5.3,25,11,323,394,593,3947,20,14,6.2,206,406,1566,11,3.9,91,79,650,26,173,35.8,13.9,Own 27.5,2:48,6.2,31.6,1.79
Lg Rank Offense,19,16,,,8,7,19,,28,28,19,15,21,,7,2,20,3,,,,,,12,15,8,6,16,14,17
Lg Rank Defense,3,9,,,9,5,11,,21,26,5,12,17,,3,3,8,3,,,,,,20,7,6,16,27,20,11
