,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,410,5708,1014,5.6,35,14,340,349,580,4198,33,21,6.8,214,398,1510,10,3.8,90,107,780,36,181,38.1,18.2,Own 28.1,2:42,5.80,31.4,2.09
Opp. Stats,423,5554,1025,5.4,28,10,329,364,580,3987,21,18,6.5,204,410,1567,20,3.8,98,119,837,27,186,39.8,14.5,Own 31.8,2:36,5.7,29.9,2.08
Lg Rank Offense,9,14,,,32,30,10,,15,8,4,31,7,,22,26,22,26,,,,,,11,1,20,15,17,13,11
Lg Rank Defense,29,16,,,4,9,19,,18,20,8,1,19,,16,10,30,7,,,,,,7,3,32,12,15,13,23
