,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,469,6816,1105,6.2,24,9,395,472,674,5074,38,15,7.2,265,404,1742,17,4.3,105,107,969,25,181,45.9,12.7,Own 27.4,2:44,6.28,37.8,2.59
Opp. Stats,454,6006,1008,6.0,21,12,353,378,582,4380,27,9,7.2,230,396,1626,19,4.1,91,104,881,32,172,45.3,12.2,Own 29.6,2:42,6.1,34.9,2.43
Lg Rank Offense,2,1,,,19,13,1,,2,1,2,18,4,,19,16,6,13,,,,,,2,11,23,12,3,2,2
Lg Rank Defense,31,27,,,17,6,27,,19,32,20,27,31,,11,14,28,15,,,,,,1,12,25,21,26,29,32
