,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,338,5120,1027,5.0,28,11,313,299,525,3278,28,17,5.7,180,448,1842,8,4.1,86,124,1050,47,192,29.2,14.6,Own 25.3,2:30,5.49,26.7,1.63
Opp. Stats,436,5546,973,5.7,16,5,301,321,501,3799,30,11,7.1,176,440,1747,14,4.0,88,122,1128,37,194,39.7,7.7,Own 29.7,2:28,5.2,28.6,2.10
Lg Rank Offense,17,20,,,28,22,14,,23,21,6,26,22,,11,14,25,16,,,,,,25,6,32,24,24,22,22
Lg Rank Defense,32,20,,,27,29,12,,3,24,29,20,30,,20,13,22,10,,,,,,3,29,26,6,3,15,30
