,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,327,5041,1006,5.0,16,11,303,414,588,3836,20,5,6.1,209,380,1205,9,3.2,66,103,882,28,174,32.8,7.5,Own 31.2,2:49,5.96,28.9,1.67
Opp. Stats,307,5038,993,5.1,27,13,304,332,548,3327,22,14,5.6,186,404,1711,9,4.2,87,99,825,31,177,33.3,14.1,Own 27.1,2:42,5.8,28.4,1.70
Lg Rank Offense,23,28,,,7,24,25,,12,18,21,2,21,,25,32,26,32,,,,,,21,28,2,5,11,22,23
Lg Rank Defense,6,3,,,7,4,7,,10,3,11,12,2,,14,20,3,17,,,,,,23,5,7,21,18,9,8
