,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,354,5542,1066,5.2,27,9,340,355,578,3926,29,18,6.4,220,453,1616,8,3.6,80,109,926,40,182,32.4,14.8,Own 28.4,2:43,6.02,30.3,1.79
Opp. Stats,369,5887,1013,5.8,29,12,326,347,548,4012,24,17,6.8,203,427,1875,15,4.4,102,121,1061,21,184,35.9,14.7,Own 28.4,2:36,5.7,31.9,1.92
Lg Rank Offense,18,18,,,24,13,10,,16,16,8,27,18,,7,24,29,29,,,,,,22,4,17,14,7,18,21
Lg Rank Defense,15,23,,,3,6,17,,10,22,16,4,26,,22,22,18,22,,,,,,15,2,16,12,13,22,18
