,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,298,4884,984,5.0,24,12,269,323,510,3182,19,12,5.7,157,427,1702,13,4.0,77,119,1035,35,199,28.6,11.1,Own 27.6,2:26,5.12,24.5,1.50
Opp. Stats,382,5636,1052,5.4,20,9,329,329,558,3749,30,11,6.4,191,466,1887,13,4.0,88,114,981,50,192,33.3,10.4,Own 28.4,2:32,5.7,29.2,1.90
Lg Rank Offense,24,28,,,22,26,29,,25,24,25,11,20,,17,19,11,20,,,,,,26,18,21,28,31,31,24
Lg Rank Defense,22,25,,,20,14,27,,21,21,29,20,21,,26,24,18,15,,,,,,17,20,15,12,17,17,22
