,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,321,5615,1140,4.9,23,7,339,344,554,3472,24,16,5.8,184,538,2143,9,4.0,124,92,805,31,197,29.4,11.7,Own 26.2,2:53,5.94,28.4,1.55
Opp. Stats,343,5178,998,5.2,18,9,286,308,514,3252,26,9,5.8,155,441,1926,10,4.4,102,85,707,29,197,31.5,7.6,Own 28.7,2:21,5.2,26.3,1.68
Lg Rank Offense,24,20,,,17,6,18,,20,21,16,27,23,,4,12,29,28,,,,,,28,13,32,10,17,24,27
Lg Rank Defense,7,3,,,26,17,1,,4,4,23,28,10,,9,11,5,16,,,,,,29,29,15,1,1,1,6
