,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,396,5725,1094,5.2,22,12,324,355,574,3666,18,10,6.0,178,479,2059,19,4.3,113,95,685,33,196,35.7,9.2,Own 28.3,2:33,5.79,29.2,1.83
Opp. Stats,415,5947,1137,5.2,24,9,346,370,568,3842,21,15,6.2,192,518,2105,22,4.1,123,100,843,31,203,38.9,11.8,Own 29.5,2:39,5.8,29.1,2.01
Lg Rank Offense,10,15,,,17,24,19,,18,20,24,6,18,,11,10,7,10,,,,,,15,25,22,26,21,19,20
Lg Rank Defense,28,24,,,16,17,25,,14,16,10,14,19,,31,24,29,10,,,,,,7,16,22,8,12,12,25
