,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,319,4638,878,5.3,23,10,252,292,455,2900,26,13,5.7,153,371,1738,7,4.7,75,108,978,24,184,28.3,12.5,Own 29.4,2:27,4.92,25.0,1.59
Opp. Stats,433,6257,1024,6.1,28,7,350,335,508,3932,31,21,7.3,195,485,2325,17,4.8,116,107,856,39,183,39.9,14.2,Own 28.9,2:51,5.8,34.2,2.27
Lg Rank Offense,26,31,,,20,21,31,,30,30,17,18,26,,25,18,30,9,,,,,,29,11,12,29,32,29,27
Lg Rank Defense,27,29,,,5,19,26,,7,21,25,2,31,,31,31,25,26,,,,,,7,10,19,25,20,28,27
