,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,353,5837,984,5.9,18,6,330,343,530,3990,21,12,7.2,200,430,1847,12,4.3,101,102,918,29,165,41.2,10.3,Own 25.9,2:54,6.22,35.3,2.06
Opp. Stats,315,5094,994,5.1,16,8,323,362,553,3429,22,8,5.8,197,402,1665,9,4.1,97,103,880,29,164,36.0,9.1,Own 28.9,2:57,6.3,31.0,1.84
Lg Rank Offense,15,8,,,9,7,9,,20,8,20,11,3,,16,13,15,8,,,,,,6,21,31,1,2,3,7
Lg Rank Defense,8,9,,,27,18,21,,16,12,12,29,10,,7,9,6,19,,,,,,12,26,18,32,32,25,20
