,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,404,6108,1094,5.6,18,5,351,361,583,4063,26,13,6.6,206,477,2045,18,4.3,110,89,720,35,185,41.1,9.2,Own 28.6,2:50,6.15,33.0,2.18
Opp. Stats,377,5744,1078,5.3,15,5,329,367,604,3928,24,10,6.1,193,433,1816,14,4.2,108,105,986,28,185,36.8,8.1,Own 29.6,2:43,6.0,30.8,1.92
Lg Rank Offense,8,7,,,6,2,8,,14,10,15,18,7,,12,11,8,12,,,,,,7,24,19,10,10,9,8
Lg Rank Defense,19,20,,,30,31,17,,25,20,22,23,14,,11,12,11,17,,,,,,14,29,23,15,21,21,19
