,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,305,4913,1002,4.9,20,9,298,304,494,3067,14,11,5.5,158,444,1846,16,4.2,103,110,882,37,181,32.6,9.4,Own 27.3,2:48,5.70,26.9,1.64
Opp. Stats,367,5697,1096,5.2,14,8,334,387,571,3866,20,6,6.3,189,480,1831,10,3.8,103,98,776,42,176,43.2,6.8,Own 27.9,3:02,6.5,32.3,1.98
Lg Rank Offense,27,28,,,14,15,26,,30,29,29,10,26,,20,17,11,15,,,,,,24,22,26,11,24,25,26
Lg Rank Defense,16,18,,,31,23,20,,16,18,8,32,23,,23,13,4,7,,,,,,3,31,11,31,32,24,21
