,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,236,4696,1020,4.6,29,8,261,351,557,3069,16,21,5.1,153,415,1627,9,3.9,93,89,676,15,203,20.2,14.3,Own 26.2,2:21,5.15,23.1,1.10
Opp. Stats,366,5127,1091,4.7,18,8,305,370,575,3543,19,10,5.8,181,480,1584,14,3.3,100,75,544,24,203,31.5,7.9,Own 31.7,2:41,5.6,25.2,1.60
Lg Rank Offense,31,30,,,27,13,31,,22,28,27,30,29,,26,26,26,25,,,,,,32,8,30,32,32,31,32
Lg Rank Defense,15,7,,,23,23,5,,19,11,4,23,9,,23,4,11,1,,,,,,29,30,32,11,4,3,5
