,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,389,5488,990,5.5,17,9,305,365,546,3740,19,8,6.5,197,412,1748,15,4.2,86,109,848,22,178,37.1,9.0,Own 30.5,2:45,5.79,30.7,1.90
Opp. Stats,311,5896,1063,5.5,33,15,342,350,598,3958,23,18,6.3,209,437,1938,10,4.4,102,109,797,31,182,31.9,16.5,Own 26.9,2:42,6.0,32.3,1.68
Lg Rank Offense,13,20,,,8,13,23,,25,19,24,7,16,,14,15,13,16,,,,,,14,24,4,7,18,16,15
Lg Rank Defense,7,24,,,1,1,25,,27,18,15,1,16,,24,26,5,24,,,,,,25,1,6,21,24,24,6
