,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,287,5527,1078,5.1,24,9,300,345,571,3592,18,15,5.7,166,444,1935,11,4.4,105,113,970,29,199,28.6,10.6,Own 26.5,2:33,5.60,27.6,1.44
Opp. Stats,359,5440,1079,5.0,23,8,324,392,605,3574,20,15,5.6,180,438,1866,12,4.3,109,106,922,35,198,35.9,10.6,Own 28.7,2:40,5.7,27.4,1.72
Lg Rank Offense,32,21,,,26,14,25,,16,19,23,22,24,,18,21,28,17,,,,,,31,21,31,30,28,28,30
Lg Rank Defense,14,7,,,14,22,12,,27,12,5,10,5,,8,10,10,11,,,,,,19,18,15,5,4,3,7
