,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,527,6738,1060,6.4,19,7,401,368,568,4507,32,12,7.5,236,459,2231,23,4.9,134,96,878,31,183,48.6,9.8,Own 30.4,2:41,6.04,36.7,2.66
Opp. Stats,384,5737,960,6.0,30,12,322,347,533,3780,31,18,6.6,185,386,1957,12,5.1,101,99,852,36,178,38.2,16.9,Own 27.8,2:38,5.6,32.2,2.11
Lg Rank Offense,2,2,,,11,8,1,,14,5,8,12,3,,8,3,2,3,,,,,,3,25,5,18,9,3,3
Lg Rank Defense,20,19,,,3,4,17,,10,14,25,3,22,,10,23,10,32,,,,,,11,2,10,10,6,21,21
