,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,391,6108,1154,5.3,19,9,352,485,711,4584,26,10,6.1,232,404,1524,15,3.8,93,81,635,27,189,38.1,9.5,Own 29.6,2:46,6.28,32.3,2.01
Opp. Stats,384,5884,1002,5.9,24,10,318,310,505,3406,24,14,6.2,175,457,2478,17,5.4,119,80,762,24,188,37.2,11.2,Own 27.4,2:41,5.5,31.5,2.01
Lg Rank Offense,13,9,,,4,14,7,,2,3,12,7,14,,28,30,16,30,,,,,,14,29,8,18,8,12,13
Lg Rank Defense,21,20,,,12,11,8,,3,7,18,12,20,,15,28,21,32,,,,,,13,17,5,8,2,18,20
