,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,433,6024,1112,5.4,28,12,377,369,563,3834,24,16,6.4,197,510,2190,22,4.3,149,95,785,31,177,42.9,15.3,Own 28.9,2:59,6.46,34.0,2.33
Opp. Stats,428,6054,1105,5.5,18,9,364,425,652,4296,35,9,6.2,222,410,1758,13,4.3,111,107,810,31,175,41.1,9.7,Own 29.1,2:53,6.5,34.6,2.35
Lg Rank Offense,7,8,,,23,24,4,,21,16,16,24,12,,6,8,5,11,,,,,,5,3,14,3,2,6,7
Lg Rank Defense,30,26,,,23,17,29,,32,31,31,25,16,,5,10,10,20,,,,,,4,24,18,27,31,31,30
