,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,342,5199,982,5.3,27,14,278,347,540,3751,27,13,6.5,191,401,1448,10,3.6,66,92,733,21,191,31.9,12.6,Own 29.4,2:30,5.30,27.0,1.73
Opp. Stats,388,5566,1045,5.3,23,7,307,306,531,3420,23,16,6.0,171,472,2146,13,4.5,105,100,887,31,195,35.9,11.8,Own 30.3,2:30,5.6,28.4,1.82
Lg Rank Offense,16,16,,,26,30,26,,18,12,9,16,12,,24,27,21,30,,,,,,18,8,9,24,29,18,18
Lg Rank Defense,27,21,,,12,19,14,,12,9,15,9,15,,29,32,18,29,,,,,,13,13,28,10,13,13,18
