,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,279,5035,1071,4.7,24,8,305,347,583,3176,15,16,5.2,173,456,1859,8,4.1,102,87,868,30,185,31.4,11.4,Own 28.6,2:44,6.02,27.2,1.44
Opp. Stats,328,4821,950,5.1,17,6,272,319,522,3226,20,11,5.8,157,397,1595,13,4.0,87,114,949,28,186,31.7,9.1,Own 30.3,2:29,5.3,25.8,1.68
Lg Rank Offense,28,29,,,19,11,23,,14,29,30,22,30,,6,8,29,19,,,,,,24,15,16,12,9,29,31
Lg Rank Defense,11,1,,,26,24,1,,3,2,5,21,4,,12,12,17,13,,,,,,26,26,28,5,1,3,7
