,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,325,5484,1056,5.2,23,9,329,396,593,3598,23,14,5.7,193,427,1886,12,4.4,104,105,824,32,178,34.3,12.9,Own 29.1,2:47,6.10,30.8,1.81
Opp. Stats,467,6456,1092,5.9,19,8,372,359,544,4160,31,11,7.2,211,518,2296,19,4.4,135,87,818,26,180,47.8,10.6,Own 28.9,2:58,6.3,35.7,2.54
Lg Rank Offense,25,22,,,17,17,22,,15,18,16,14,24,,21,19,24,11,,,,,,22,11,14,18,14,20,22
Lg Rank Defense,31,29,,,21,11,26,,6,24,26,22,32,,29,28,26,21,,,,,,2,22,16,28,23,30,31
