,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,329,5602,1015,5.5,21,6,320,367,588,3695,19,15,5.9,181,393,1907,18,4.9,107,125,985,32,186,30.6,11.3,Own 27.8,2:30,5.63,30.1,1.72
Opp. Stats,349,5842,1022,5.7,28,11,318,353,549,3929,26,17,6.6,197,429,1913,11,4.5,85,123,1006,36,185,34.1,14.1,Own 28.1,2:41,5.7,31.4,1.82
Lg Rank Offense,24,19,,,18,4,20,,8,19,24,22,24,,21,12,4,4,,,,,,28,15,21,28,26,21,25
Lg Rank Defense,13,22,,,5,7,16,,19,20,14,5,23,,19,21,6,17,,,,,,22,12,12,14,13,17,9
