,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,365,5417,1011,5.4,21,12,330,257,415,2699,17,9,6.0,148,559,2718,17,4.9,152,68,594,30,167,39.5,11.4,Own 27.7,3:02,6.24,32.3,2.00
Opp. Stats,386,6156,1082,5.7,17,7,351,372,561,3942,26,10,6.8,200,500,2214,15,4.4,136,100,804,15,170,43.5,10.0,Own 29.0,3:03,6.6,36.2,2.27
Lg Rank Offense,15,24,,,8,27,21,,31,31,24,3,18,,1,3,10,4,,,,,,10,16,21,2,10,13,14
Lg Rank Defense,23,27,,,27,23,25,,16,25,23,24,29,,28,23,17,18,,,,,,1,25,23,32,32,31,29
