,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,342,5769,1003,5.8,32,12,344,331,532,3867,26,20,6.7,201,423,1902,7,4.5,98,112,982,45,181,37.0,17.1,Own 26.2,2:39,5.72,31.8,1.86
Opp. Stats,435,5546,1023,5.4,7,5,337,344,542,3732,35,2,6.4,195,444,1814,13,4.1,104,117,1011,38,181,39.8,3.9,Own 30.9,2:42,5.8,30.5,2.25
Lg Rank Offense,21,16,,,30,29,12,,20,15,17,30,11,,11,13,30,12,,,,,,15,2,30,20,25,16,20
Lg Rank Defense,28,13,,,32,28,23,,14,11,31,32,14,,25,14,15,7,,,,,,8,32,30,16,19,9,26
