,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,428,6453,1058,6.1,26,9,378,459,689,5008,35,17,7.0,251,345,1445,16,4.2,88,111,1026,39,182,36.8,14.3,Own 26.0,2:44,5.93,35.5,2.23
Opp. Stats,360,5235,987,5.3,15,7,317,362,566,3697,27,8,6.0,200,369,1538,13,4.2,84,136,1170,33,184,33.7,8.2,Own 28.6,2:35,5.5,28.4,1.88
Lg Rank Offense,6,4,,,26,15,4,,1,2,5,26,8,,31,31,7,24,,,,,,18,7,32,14,13,6,9
Lg Rank Defense,16,6,,,29,19,14,,21,10,16,28,7,,7,6,15,9,,,,,,25,30,15,6,3,6,14
