,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,354,5311,1005,5.3,22,9,314,309,493,3141,22,13,6.0,162,480,2170,18,4.5,127,97,939,25,171,36.3,11.1,Own 29.9,2:50,6.09,31.1,2.02
Opp. Stats,332,5089,1000,5.1,21,11,312,371,559,3425,28,10,5.7,181,403,1664,7,4.1,96,107,880,35,171,31.6,10.5,Own 25.8,2:47,6.0,29.6,1.77
Lg Rank Offense,14,14,,,14,18,13,,29,26,18,16,18,,5,2,2,3,,,,,,13,17,5,5,5,8,9
Lg Rank Defense,13,8,,,16,7,16,,22,11,26,24,8,,8,8,3,18,,,,,,23,18,2,23,24,20,14
