,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,369,5499,1052,5.2,29,10,318,306,563,3685,21,19,6.2,194,453,1814,16,4.0,99,98,835,25,193,34.7,14.0,Own 30.4,2:33,5.64,28.5,1.81
Opp. Stats,402,5756,1035,5.6,27,10,329,409,612,4291,27,17,6.5,223,376,1465,11,3.9,90,112,907,16,196,36.2,13.8,Own 27.3,2:23,5.5,29.4,1.86
Lg Rank Offense,15,19,,,27,23,20,,20,21,19,28,20,,7,10,10,20,,,,,,20,7,5,24,23,24,20
Lg Rank Defense,26,21,,,7,9,19,,28,29,20,4,20,,6,6,10,9,,,,,,14,8,10,1,6,11,15
