,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,330,5674,1015,5.6,25,11,305,338,512,3692,24,14,6.7,181,465,1982,12,4.3,103,99,841,21,186,31.7,12.9,Own 27.7,2:42,5.62,30.5,1.73
Opp. Stats,345,5352,1076,5.0,14,7,319,322,536,3134,17,7,5.4,159,492,2218,14,4.5,122,92,798,38,184,34.8,7.1,Own 28.1,2:49,6.0,29.1,1.74
Lg Rank Offense,22,19,,,27,24,24,,26,16,16,17,7,,14,19,22,22,,,,,,26,5,21,21,27,20,21
Lg Rank Defense,9,5,,,30,23,9,,7,2,3,30,3,,25,24,14,20,,,,,,22,32,11,19,17,10,8
