,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,329,5317,1060,5.0,32,11,321,407,636,3725,24,21,5.3,190,359,1592,14,4.4,99,87,701,32,197,29.4,15.2,Own 27.4,2:33,5.50,26.9,1.68
Opp. Stats,518,6612,1117,5.9,18,10,364,396,598,4457,39,8,7.0,218,480,2155,15,4.5,121,99,828,25,188,46.8,9.0,Own 31.1,2:46,6.1,35.0,2.53
Lg Rank Offense,25,24,,,29,20,21,,1,18,16,30,27,,32,27,15,7,,,,,,28,4,25,26,27,24,24
Lg Rank Defense,32,32,,,23,13,29,,23,32,32,27,31,,23,27,17,26,,,,,,1,26,29,20,26,32,32
