,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,421,5502,1013,5.4,24,10,331,344,512,3564,28,14,6.5,177,468,1938,16,4.1,108,97,796,46,182,36.8,13.2,Own 30.4,2:51,5.76,30.1,2.07
Opp. Stats,283,4795,1004,4.8,36,9,278,377,615,3515,22,27,5.3,186,339,1280,5,3.8,67,114,1022,25,185,28.6,19.5,Own 28.6,2:29,5.6,25.9,1.46
Lg Rank Offense,9,21,,,22,21,16,,24,21,14,21,14,,6,11,7,27,,,,,,18,9,5,8,23,22,13
Lg Rank Defense,1,3,,,1,14,1,,29,7,8,1,1,,2,1,1,4,,,,,,32,1,15,3,11,2,1
