,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,302,4842,1010,4.8,16,6,278,289,476,2825,16,10,5.4,149,487,2017,12,4.1,105,98,872,24,180,31.7,8.9,Own 28.2,2:31,5.92,26.9,1.57
Opp. Stats,359,5682,1066,5.3,25,7,348,370,573,3688,14,18,6.1,199,466,1994,22,4.3,121,97,873,28,183,37.2,13.1,Own 30.3,2:49,6.1,31.1,1.90
Lg Rank Offense,22,29,,,6,7,26,,31,31,27,8,27,,4,6,15,14,,,,,,19,25,18,23,9,19,23
Lg Rank Defense,18,26,,,9,19,30,,29,20,2,6,19,,26,29,32,25,,,,,,8,10,28,26,28,26,23
