,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,364,5177,1051,4.9,18,5,307,293,504,3186,29,13,5.9,165,510,1991,12,3.9,113,98,811,29,196,33.7,8.7,Own 31.1,2:39,5.52,26.4,1.85
Opp. Stats,335,5410,1064,5.1,25,7,304,369,592,3821,20,18,6.0,185,426,1589,12,3.7,84,89,761,35,195,32.3,12.8,Own 27.7,2:35,5.7,27.8,1.63
Lg Rank Offense,19,28,,,6,2,27,,30,32,11,11,20,,4,15,24,28,,,,,,23,28,4,25,31,29,21
Lg Rank Defense,4,7,,,10,20,2,,17,14,3,6,12,,9,4,6,1,,,,,,30,11,8,5,5,3,3
