,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,363,5179,1026,5.0,22,6,320,293,501,3077,22,16,5.7,167,490,2102,15,4.3,121,83,682,32,179,37.4,11.7,Own 30.0,2:53,5.92,28.8,1.97
Opp. Stats,327,5074,953,5.3,21,11,282,351,550,3665,25,10,6.1,187,353,1409,7,4.0,69,101,867,26,180,33.9,11.7,Own 28.1,2:28,5.5,28.2,1.73
Lg Rank Offense,12,19,,,14,7,12,,27,28,18,25,19,,3,4,7,10,,,,,,10,14,3,2,10,16,10
Lg Rank Defense,11,7,,,16,7,6,,15,18,22,24,17,,2,3,3,11,,,,,,15,14,13,6,10,11,12
