,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,360,5495,1097,5.0,25,10,322,321,513,3096,19,15,5.5,169,534,2399,16,4.5,137,99,853,16,184,38.0,13.0,Own 29.8,2:57,6.15,29.8,1.90
Opp. Stats,379,5511,1035,5.3,28,6,307,410,617,4043,31,22,6.2,196,388,1468,8,3.8,88,72,530,23,184,34.2,14.7,Own 29.9,2:35,5.8,29.8,1.88
Lg Rank Offense,18,20,,,21,16,20,,27,27,23,21,25,,2,2,11,6,,,,,,12,13,8,4,8,15,13
Lg Rank Defense,20,12,,,5,28,7,,28,25,29,1,21,,2,1,2,5,,,,,,19,3,25,5,13,15,17
