,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,453,6460,1092,5.9,15,8,376,383,588,4281,29,7,7.0,228,480,2179,23,4.5,114,90,773,34,176,43.2,8.0,Own 30.1,2:53,6.38,36.6,2.48
Opp. Stats,427,6670,1076,6.2,22,10,377,353,560,4179,26,12,7.0,209,477,2491,22,5.2,135,103,818,33,177,41.2,11.9,Own 26.8,2:53,6.2,37.7,2.32
Lg Rank Offense,5,4,,,1,7,6,,11,8,8,2,5,,13,11,3,15,,,,,,3,31,4,10,2,3,4
Lg Rank Defense,28,32,,,17,11,32,,15,30,23,19,31,,21,29,29,30,,,,,,4,15,2,28,29,32,31
