,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,460,6145,1046,5.9,21,7,337,384,555,4403,36,14,7.2,208,436,1742,16,4.0,96,72,620,33,190,42.6,10.0,Own 29.8,2:49,5.68,32.2,2.37
Opp. Stats,376,5964,1075,5.5,21,8,339,420,626,4222,26,13,6.3,213,407,1742,15,4.3,107,116,946,19,189,33.9,11.1,Own 29.1,2:42,5.9,31.5,1.88
Lg Rank Offense,7,13,,,12,9,18,,20,7,7,14,3,,19,23,14,26,,,,,,12,21,7,16,29,17,11
Lg Rank Defense,17,18,,,17,11,15,,28,26,13,15,21,,5,5,14,13,,,,,,26,17,18,10,10,13,8
