,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,424,6145,1123,5.5,23,8,382,448,672,4484,30,15,6.2,244,404,1661,18,4.1,93,88,684,45,197,36.0,11.7,Own 29.0,2:34,5.77,30.8,2.04
Opp. Stats,427,6608,1118,5.9,25,10,359,408,617,4515,23,15,6.9,224,463,2093,18,4.5,113,111,926,22,192,41.1,12.0,Own 27.8,2:45,6.1,34.4,2.09
Lg Rank Offense,8,7,,,17,7,4,,3,6,4,22,13,,28,27,7,26,,,,,,17,13,13,29,24,19,12
Lg Rank Defense,28,31,,,9,11,26,,29,31,14,10,30,,18,20,23,22,,,,,,5,13,8,11,19,28,27
