,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,480,6746,1134,5.9,25,12,419,448,675,4791,37,13,6.8,267,431,1955,16,4.5,119,111,925,33,168,48.2,13.7,Own 28.7,3:08,6.94,40.1,2.71
Opp. Stats,364,6272,1060,5.9,29,14,363,401,610,4273,27,15,6.7,209,419,1999,15,4.8,121,116,911,33,169,37.3,16.0,Own 26.5,2:56,6.4,37.0,2.14
Lg Rank Offense,4,3,,,23,30,1,,2,4,6,11,9,,20,16,14,7,,,,,,1,7,15,2,1,1,1
Lg Rank Defense,8,27,,,5,1,24,,23,27,16,12,26,,6,21,14,31,,,,,,15,4,2,23,29,32,21
