,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,433,6179,1070,5.8,24,9,371,432,644,4461,39,15,6.7,237,408,1718,13,4.2,96,120,953,38,182,41.2,13.2,Own 29.8,2:39,6.04,33.9,2.38
Opp. Stats,344,5435,997,5.5,26,11,315,384,542,3805,21,15,6.6,203,417,1630,12,3.9,87,131,1115,25,172,35.5,14.5,Own 27.6,2:51,6.0,31.6,1.83
Lg Rank Offense,5,7,,,22,15,6,,2,6,2,22,9,,17,20,16,22,,,,,,6,9,9,20,8,10,6
Lg Rank Defense,10,11,,,10,7,11,,14,16,3,9,20,,16,8,10,6,,,,,,17,8,7,25,24,19,11
