,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,324,5236,1019,5.1,19,7,325,375,574,3576,22,12,5.8,201,404,1660,11,4.1,91,94,852,33,173,35.3,11.0,Own 27.7,2:54,6.13,30.3,1.82
Opp. Stats,360,5360,942,5.7,14,7,315,323,496,3599,29,7,6.7,191,403,1761,11,4.4,88,94,886,36,171,34.5,7.0,Own 27.5,2:41,5.7,31.3,1.97
Lg Rank Offense,25,24,,,11,8,18,,11,20,22,12,25,,18,23,23,28,,,,,,21,17,24,5,5,20,21
Lg Rank Defense,16,10,,,31,19,11,,3,8,19,29,25,,13,10,6,16,,,,,,21,31,6,14,12,15,17
