,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,289,4820,1015,4.7,28,9,277,352,579,3344,20,19,5.4,159,398,1476,7,3.7,90,88,644,28,198,28.8,13.6,Own 28.2,2:29,5.28,24.3,1.43
Opp. Stats,420,6452,1134,5.7,27,11,372,336,522,3558,15,16,6.3,196,573,2894,25,5.1,150,95,773,26,193,35.2,11.9,Own 27.1,2:49,6.0,33.2,1.89
Lg Rank Offense,30,31,,,30,14,31,,14,25,18,31,28,,30,31,31,31,,,,,,30,3,18,32,32,32,31
Lg Rank Defense,27,30,,,5,5,31,,6,10,1,7,22,,32,32,31,29,,,,,,21,14,3,19,18,25,14
