,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,462,6008,1052,5.7,23,10,362,364,535,3857,24,13,6.9,187,489,2151,24,4.4,139,95,854,36,175,48.0,12.6,Own 31.6,2:59,6.23,34.3,2.54
Opp. Stats,303,5284,1038,5.1,30,7,308,319,538,3181,21,23,5.5,176,464,2103,9,4.5,111,100,831,21,177,29.4,16.9,Own 26.8,2:51,6.1,29.9,1.56
Lg Rank Offense,6,15,,,17,23,9,,25,14,15,11,7,,8,8,2,12,,,,,,2,13,2,6,10,11,6
Lg Rank Defense,2,4,,,3,20,3,,4,2,4,2,2,,20,22,1,25,,,,,,31,2,5,20,18,9,2
