,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,395,4886,1054,4.6,17,4,311,363,567,3030,20,13,5.1,168,460,1856,14,4.0,111,91,749,32,192,36.5,8.9,Own 32.8,2:34,5.70,25.4,1.84
Opp. Stats,303,5201,1045,5.0,34,12,296,333,569,3421,18,22,5.6,179,435,1780,12,4.1,87,96,807,30,195,29.7,17.4,Own 26.5,2:26,5.5,26.6,1.51
Lg Rank Offense,9,27,,,7,2,15,,11,29,23,16,32,,7,11,10,19,,,,,,12,26,2,19,17,28,13
Lg Rank Defense,6,12,,,1,4,9,,26,10,5,1,4,,19,15,16,16,,,,,,28,1,6,5,12,6,5
