,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,395,5506,954,5.8,13,6,302,324,495,3432,30,7,6.3,166,413,2074,18,5.0,106,97,803,30,187,34.8,7.0,Own 29.6,2:19,5.22,29.3,2.07
Opp. Stats,366,6445,1201,5.4,18,7,400,443,658,4513,24,11,6.5,240,509,1932,16,3.8,124,96,919,36,189,35.4,8.5,Own 26.0,3:10,6.5,34.1,1.91
Lg Rank Offense,16,20,,,1,4,30,,31,23,10,1,14,,27,11,9,3,,,,,,19,30,9,32,32,22,16
Lg Rank Defense,11,28,,,25,20,31,,31,31,7,22,24,,27,17,18,2,,,,,,22,26,1,30,31,24,10
