,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,309,4930,996,4.9,25,15,287,287,491,2911,21,10,5.4,152,458,2019,15,4.4,116,99,831,19,197,27.4,10.7,Own 27.2,2:11,5.18,25.0,1.55
Opp. Stats,480,6502,1102,5.9,20,10,358,322,521,3848,30,10,6.9,187,548,2654,25,4.8,140,93,780,31,203,41.4,9.4,Own 31.6,2:38,5.6,31.9,2.33
Lg Rank Offense,27,31,,,21,32,30,,29,32,19,10,29,,5,4,13,11,,,,,,29,18,27,32,30,31,25
Lg Rank Defense,32,32,,,19,9,29,,2,14,25,23,28,,32,32,32,32,,,,,,4,24,30,15,8,21,30
