,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,341,5219,1097,4.8,26,12,325,404,615,3651,21,14,5.6,206,442,1568,12,3.5,87,105,825,32,186,30.1,12.4,Own 28.0,2:47,6.06,27.9,1.61
Opp. Stats,373,5738,1081,5.3,26,12,337,373,608,3871,23,14,5.9,199,425,1867,16,4.4,106,109,991,32,193,36.3,13.0,Own 29.3,2:39,5.8,29.7,1.90
Lg Rank Offense,22,25,,,25,30,23,,8,17,20,14,26,,18,30,24,31,,,,,,27,15,23,18,16,26,27
Lg Rank Defense,16,15,,,8,4,13,,22,16,6,14,7,,8,14,18,18,,,,,,19,10,19,7,8,8,9
