,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,320,4891,999,4.9,25,7,307,352,562,3167,25,18,5.2,176,386,1724,13,4.5,99,96,789,32,174,30.5,13.2,Own 26.5,2:41,5.89,28.1,1.79
Opp. Stats,384,5582,1014,5.5,22,11,331,348,513,3789,30,11,6.9,211,464,1793,10,3.9,95,94,832,25,174,40.2,11.5,Own 30.4,2:55,6.0,31.9,2.13
Lg Rank Offense,21,26,,,23,12,18,,14,25,12,28,31,,27,17,11,5,,,,,,20,7,28,12,12,17,16
Lg Rank Defense,26,22,,,13,7,28,,5,23,29,20,29,,24,17,9,8,,,,,,2,15,30,30,26,27,32
