,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,224,4203,960,4.4,29,9,245,312,536,2951,14,20,5.0,151,375,1252,9,3.3,68,126,1091,26,193,21.8,14.5,Own 27.4,2:26,5.11,21.7,1.13
Opp. Stats,394,5392,1037,5.2,18,8,325,378,582,3732,32,10,6.1,194,424,1660,12,3.9,91,108,920,40,192,31.3,9.4,Own 27.3,2:33,5.5,28.0,1.85
Lg Rank Offense,32,32,,,27,13,32,,27,31,32,30,32,,28,31,26,31,,,,,,32,5,23,29,31,32,32
Lg Rank Defense,23,9,,,23,19,16,,19,10,29,23,9,,20,16,13,10,,,,,,27,23,10,7,7,8,14
