,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,418,5868,1086,5.4,28,11,368,383,646,4136,28,17,6.0,229,399,1732,20,4.3,97,104,889,42,197,35.0,14.2,Own 29.7,2:31,5.66,29.5,2.03
Opp. Stats,362,4883,1019,4.8,28,14,293,344,547,3365,21,14,5.7,175,424,1518,16,3.6,90,123,1010,28,194,32.5,12.9,Own 30.3,2:29,5.4,25.1,1.76
Lg Rank Offense,6,9,,,26,24,3,,3,9,11,26,23,,21,18,3,12,,,,,,19,6,7,25,21,20,14
Lg Rank Defense,14,2,,,4,2,2,,9,4,8,12,3,,20,9,22,3,,,,,,24,10,28,5,4,1,9
