,,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 10,4:05PM ET,boxscore,L,,0-1,@,Los Angeles Rams,9,46,10,225,150,75,3,19,373,310,63,1,-27.68,-7.24,-0.19
2,Sun,September 17,1:00PM ET,boxscore,L,OT,0-2,,Arizona Cardinals,13,16,18,266,190,76,1,17,389,306,83,1,-12.33,0.55,8.89
3,Sun,September 24,1:00PM ET,boxscore,W,,1-2,,Cleveland Browns,31,28,16,335,243,92,1,25,346,235,111,3,6.84,-2.85,0.67
4,Sun,October 1,8:30PM ET,boxscore,L,,1-3,@,Seattle Seahawks,18,46,16,237,139,98,2,22,477,283,194,2,-13.36,-23.83,10.13
5,Sun,October 8,1:00PM ET,boxscore,W,OT,2-3,,San Francisco 49ers,26,23,25,447,288,159,1,23,402,336,66,,5.95,-10.34,7.25
6,Mon,October 16,8:30PM ET,boxscore,L,,2-4,@,Tennessee Titans,22,36,18,297,212,85,1,25,473,305,168,1,-0.45,-15.36,3.68
7,Sun,October 22,1:00PM ET,boxscore,L,,2-5,,Jacksonville Jaguars,0,27,15,232,136,96,,23,518,330,188,2,-17.46,-14.70,4.68
8,Sun,October 29,1:00PM ET,boxscore,L,,2-6,@,Cincinnati Bengals,23,24,19,331,216,115,1,17,276,218,58,2,-3.56,-1.65,3.58
9,Sun,November 5,1:00PM ET,boxscore,W,,3-6,@,Houston Texans,20,14,17,371,279,92,1,19,288,194,94,1,-1.23,3.11,1.80
10,Sun,November 12,1:00PM ET,boxscore,L,,3-7,,Pittsburgh Steelers,17,20,13,267,196,71,1,18,316,228,88,1,-4.91,-3.64,5.48
11,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
12,Sun,November 26,1:00PM ET,boxscore,L,,3-8,,Tennessee Titans,16,20,15,254,165,89,1,19,276,184,92,2,-7.31,-0.56,0.32
13,Sun,December 3,1:00PM ET,boxscore,L,,3-9,@,Jacksonville Jaguars,10,30,17,290,149,141,2,22,426,330,96,,0.16,-20.26,2.35
14,Sun,December 10,1:00PM ET,boxscore,L,OT,3-10,@,Buffalo Bills,7,13,16,227,64,163,,14,319,92,227,2,-9.14,10.32,-8.25
15,Thu,December 14,8:25PM ET,boxscore,L,,3-11,,Denver Broncos,13,25,15,228,158,70,,23,462,251,211,1,-1.30,-15.29,4.94
16,Sat,December 23,4:30PM ET,boxscore,L,,3-12,@,Baltimore Ravens,16,23,17,296,203,93,,23,323,220,103,,4.87,-9.41,-2.18
17,Sun,December 31,1:00PM ET,boxscore,W,,4-12,,Houston Texans,22,13,20,250,104,146,,15,209,124,85,1,4.32,1.07,3.08
