,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,509,6317,1122,5.6,16,6,385,428,614,4397,36,10,6.7,229,468,1920,14,4.1,113,115,964,43,169,50.3,8.9,Own 28.9,3:11,6.85,37.3,2.67
Opp. Stats,315,5095,1014,5.0,26,9,311,308,509,3185,21,17,5.7,166,459,1910,14,4.2,108,104,934,37,178,32.0,14.6,Own 27.3,2:42,5.8,28.5,1.75
Lg Rank Offense,1,5,,,2,4,1,,8,3,1,6,6,,14,14,15,20,,,,,,1,26,14,1,1,2,2
Lg Rank Defense,5,5,,,12,17,8,,3,5,10,8,7,,16,16,11,15,,,,,,26,4,7,14,15,9,10
