,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,396,5710,1187,4.8,37,14,325,355,624,3693,24,23,5.5,173,518,2017,15,3.9,121,115,897,31,222,32.9,16.2,Own 29.7,2:28,5.50,25.6,1.69
Opp. Stats,362,4593,1004,4.6,28,10,254,307,535,2800,23,18,4.8,136,420,1793,15,4.3,88,118,923,30,222,24.8,11.7,Own 29.9,2:07,4.6,20.7,1.43
Lg Rank Offense,10,16,,,32,29,18,,5,19,16,32,24,,4,12,14,26,,,,,,23,2,10,30,28,28,23
Lg Rank Defense,13,1,,,5,13,1,,6,1,17,3,2,,7,11,17,19,,,,,,32,17,25,1,1,1,2
