,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,416,5973,1048,5.7,14,7,333,379,596,4051,29,7,6.6,198,434,1922,17,4.4,98,147,1247,37,194,38.7,7.2,Own 31.7,2:37,5.58,30.7,2.11
Opp. Stats,385,6001,987,6.1,30,14,318,328,541,4120,27,16,7.3,188,421,1881,18,4.5,94,115,1062,36,190,35.3,14.2,Own 25.2,2:27,5.3,31.7,2.01
Lg Rank Offense,7,6,,,4,7,13,,9,13,8,4,13,,11,6,6,10,,,,,,9,29,1,20,27,17,10
Lg Rank Defense,20,26,,,2,2,12,,6,24,20,9,32,,18,23,25,25,,,,,,16,4,2,4,3,18,20
