,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,348,5321,1047,5.1,18,8,300,364,568,3812,28,10,6.3,188,439,1509,8,3.4,79,100,751,33,183,35.5,9.8,Own 28.8,2:44,5.89,29.1,1.85
Opp. Stats,325,5852,1081,5.4,26,13,337,404,611,4232,23,13,6.4,213,422,1620,11,3.8,101,93,762,23,183,34.4,14.2,Own 27.1,2:50,6.1,32.0,1.78
Lg Rank Offense,20,23,,,6,13,25,,19,17,8,6,14,,23,32,28,32,,,,,,16,19,16,16,15,20,17
Lg Rank Defense,7,23,,,12,2,21,,27,29,17,17,25,,9,5,8,8,,,,,,18,8,4,25,25,23,12
