,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,511,6901,1139,6.1,19,7,404,492,731,5229,43,12,6.9,273,385,1672,18,4.3,106,97,874,25,194,44.3,9.8,Own 30.0,2:40,6.03,35.5,2.59
Opp. Stats,353,5635,1093,5.2,29,12,344,445,680,4062,26,17,5.6,214,366,1573,11,4.3,94,79,635,36,191,33.5,14.7,Own 28.3,2:39,5.9,29.4,1.78
Lg Rank Offense,2,2,,,8,9,2,,1,1,1,10,5,,31,26,9,15,,,,,,8,23,5,24,19,5,3
Lg Rank Defense,5,13,,,5,4,17,,32,21,13,8,4,,1,3,5,15,,,,,,27,6,13,7,11,7,6
