,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,450,6215,1072,5.8,13,6,375,402,593,4315,39,7,6.9,235,446,1900,13,4.3,109,69,678,31,173,44.5,6.4,Own 30.0,3:14,6.39,35.9,2.54
Opp. Stats,371,5579,1037,5.4,26,8,337,379,603,3724,31,18,5.8,194,395,1855,13,4.7,120,88,718,23,172,36.6,14.0,Own 27.7,2:42,6.1,32.1,2.12
Lg Rank Offense,10,10,,,1,4,7,,15,8,4,1,6,,17,18,21,20,,,,,,7,32,5,1,5,4,5
Lg Rank Defense,13,9,,,8,11,13,,20,10,26,6,5,,4,11,7,30,,,,,,18,8,8,10,19,16,20
