,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,540,6653,995,6.7,11,4,379,374,537,4725,38,7,8.2,239,421,1928,20,4.6,108,104,848,32,175,52.6,6.3,Own 29.3,2:47,5.89,38.0,2.90
Opp. Stats,406,5939,1059,5.6,22,10,358,422,655,4267,31,12,6.2,232,370,1672,15,4.5,95,113,974,31,176,39.2,11.4,Own 26.7,2:44,6.2,33.6,2.22
Lg Rank Offense,1,2,,,1,2,2,,26,3,2,4,1,,12,5,3,5,,,,,,1,31,11,6,14,1,1
Lg Rank Defense,27,25,,,16,9,29,,32,28,28,18,12,,5,17,18,26,,,,,,10,17,4,27,29,26,28
